Age,Gender,Income,Education,Employment,Online_Shop_Frequency,Avg_Spend_Per_Order,Frequent_Categories,Device_Used,Main_Purchase_Factor,Try_New_Platform,Pay_Faster_Delivery,Become_Regular_If_Personalized,Max_Loyalty_Program_Pay,Abandon_Cart_If_Slow,Allow_Data_Use_For_Rec,Checkout_Problem,Attn_Personalized_Recs,Price_Sensitivity,Switch_For_Discount,Shopping_Challenges,Desired_Features,Satisfaction_1_10,Preferred_Shop_Time,Would_Recommend
25-34,Female,$3000-$4999,Bachelor’s,Employed,3-5 times,$100-$199,"Groceries,Books,Health & Beauty",Desktop/Laptop,Reviews,Neutral,Yes,Very Unlikely,<$5,Yes,No,Changed Mind,Sometimes,Very Sensitive,Very Likely,Product Quality,"AR Product Previews,Better Loyalty Rewards",5,Evening,No
55+,Female,$1000-$2999,Bachelor’s,Retired,3-5 times,$100-$199,"Home & Kitchen,Electronics,Other",Mobile,Reviews,Very Likely,No,Very Unlikely,None,Yes,No,Complicated Checkout,Often,Not at All Sensitive,Likely,"Product Quality,Other,Lack of Variety","Flexible Returns,Better Loyalty Rewards",8,Evening,Yes
18-24,Male,$3000-$4999,Bachelor’s,Student,6-10 times,$200+,Fashion,Mobile,Delivery Speed,Unlikely,No,Likely,<$5,Sometimes,No,Slow Delivery,Sometimes,Not Very Sensitive,Unlikely,"Lack of Variety,Other","AR Product Previews,One-Click Checkout,Better Loyalty Rewards",9,Evening,Yes
25-34,Male,$5000-$9999,Other,Self-employed,6-10 times,$50-$99,Groceries,Mobile,Product Range,Unlikely,No,Unlikely,<$5,Sometimes,No,High Shipping Costs,Sometimes,Very Sensitive,Likely,Delivery Delays,Live Chat Support,6,Night,Maybe
35-44,Female,$3000-$4999,Bachelor’s,Student,1-2 times,<$20,"Home & Kitchen,Electronics,Health & Beauty",Mobile,Reviews,Neutral,No,Unlikely,None,Sometimes,Yes,Complicated Checkout,Often,Very Sensitive,Very Unlikely,Delivery Delays,One-Click Checkout,10,Evening,Yes
25-34,Female,$1000-$2999,Bachelor’s,Unemployed,6-10 times,$20-$49,"Health & Beauty,Fashion",Mobile,Price,Likely,Yes,Neutral,$10-19,Yes,Yes,High Shipping Costs,Never,Somewhat Sensitive,Neutral,"Poor Customer Service,Product Quality,Lack of Variety","Flexible Returns,Better Loyalty Rewards",5,Evening,Yes
25-34,Female,$3000-$4999,Bachelor’s,Employed,3-5 times,<$20,"Groceries,Other",Mobile,Brand,Neutral,Yes,Very Unlikely,$5-9,Sometimes,Yes,Security Concerns,Rarely,Not Very Sensitive,Neutral,"Other,Poor Customer Service","One-Click Checkout,Live Chat Support,Other",3,Evening,No
18-24,Male,$3000-$4999,Master’s,Student,1-2 times,$50-$99,Other,Mobile,Price,Likely,Yes,Likely,$5-9,Yes,No,Complicated Checkout,Sometimes,Not Very Sensitive,Very Likely,"Lack of Variety,Payment Issues,Other","Live Chat Support,Flexible Returns,One-Click Checkout",5,Morning,Yes
18-24,Male,$3000-$4999,High School,Employed,6-10 times,$50-$99,Other,Mobile,Brand,Unlikely,No,Likely,<$5,Yes,No,High Shipping Costs,Rarely,Not at All Sensitive,Neutral,"Payment Issues,Lack of Variety,Product Quality",Better Loyalty Rewards,8,Morning,No
35-44,Male,$1000-$2999,Master’s,Employed,3-5 times,$20-$49,"Home & Kitchen,Health & Beauty",Mobile,Delivery Speed,Likely,No,Very Likely,None,Sometimes,Yes,Complicated Checkout,Sometimes,Very Sensitive,Neutral,Other,AR Product Previews,7,Evening,Yes
45-54,Male,$3000-$4999,Master’s,Employed,1-2 times,$20-$49,Home & Kitchen,Desktop/Laptop,Delivery Speed,Unlikely,Yes,Likely,None,Yes,Yes,Complicated Checkout,Never,Very Sensitive,Likely,Delivery Delays,"Live Chat Support,Better Loyalty Rewards",9,Evening,Yes
25-34,Male,$1000-$2999,Bachelor’s,Employed,3-5 times,$50-$99,"Groceries,Home & Kitchen",Mobile,Product Range,Very Unlikely,Yes,Likely,<$5,Yes,No,Security Concerns,Rarely,Somewhat Sensitive,Likely,Lack of Variety,"One-Click Checkout,AR Product Previews",9,Night,Maybe
18-24,Male,"$10,000+",Master’s,Unemployed,1-2 times,$50-$99,"Fashion,Groceries",Mobile,Brand,Very Likely,No,Very Likely,<$5,Sometimes,No,Changed Mind,Often,Neutral,Likely,"Payment Issues,Delivery Delays,Poor Customer Service","Flexible Returns,Better Loyalty Rewards,One-Click Checkout",10,Evening,Yes
35-44,Female,<$1000,Doctorate,Student,3-5 times,<$20,"Electronics,Groceries,Fashion",Desktop/Laptop,Delivery Speed,Likely,Yes,Very Likely,$5-9,Sometimes,No,Other,Sometimes,Very Sensitive,Likely,Product Quality,"Better Loyalty Rewards,Live Chat Support,One-Click Checkout",8,Night,No
35-44,Male,$3000-$4999,Master’s,Employed,6-10 times,$50-$99,Books,Mobile,Discounts,Likely,No,Unlikely,$5-9,No,No,Changed Mind,Sometimes,Very Sensitive,Likely,"Delivery Delays,Payment Issues,Other","One-Click Checkout,AR Product Previews,Live Chat Support",8,Morning,No
45-54,Female,$5000-$9999,Master’s,Self-employed,3-5 times,$100-$199,Electronics,Mobile,Reviews,Likely,Yes,Neutral,$5-9,Sometimes,Yes,Other,Never,Somewhat Sensitive,Neutral,"Product Quality,Payment Issues",Better Loyalty Rewards,6,Evening,No
25-34,Female,$3000-$4999,Master’s,Unemployed,6-10 times,$50-$99,"Electronics,Fashion",Mobile,Discounts,Neutral,No,Neutral,$5-9,Sometimes,No,Changed Mind,Sometimes,Somewhat Sensitive,Neutral,"Delivery Delays,Other","Live Chat Support,AR Product Previews",4,Afternoon,Yes
25-34,Male,$1000-$2999,Bachelor’s,Self-employed,3-5 times,$200+,Fashion,Mobile,Reviews,Likely,No,Unlikely,<$5,No,Maybe,Security Concerns,Sometimes,Very Sensitive,Likely,Product Quality,"Better Loyalty Rewards,Live Chat Support",7,Evening,No
45-54,Female,$5000-$9999,Bachelor’s,Unemployed,6-10 times,$20-$49,Home & Kitchen,Desktop/Laptop,Price,Very Unlikely,No,Likely,$5-9,Sometimes,No,Complicated Checkout,Sometimes,Neutral,Likely,"Poor Customer Service,Product Quality,Payment Issues","Live Chat Support,One-Click Checkout,Flexible Returns",6,Morning,Maybe
25-34,Female,"$10,000+",High School,Employed,1-2 times,$20-$49,Other,Mobile,Product Range,Very Unlikely,Yes,Very Unlikely,$5-9,No,No,Slow Delivery,Sometimes,Very Sensitive,Neutral,"Product Quality,Poor Customer Service,Payment Issues","Flexible Returns,Better Loyalty Rewards,Live Chat Support",7,Evening,No
45-54,Female,$5000-$9999,Bachelor’s,Employed,6-10 times,$50-$99,Fashion,Mobile,Brand,Neutral,Yes,Neutral,$5-9,No,No,Changed Mind,Sometimes,Neutral,Neutral,Lack of Variety,"One-Click Checkout,Better Loyalty Rewards",7,Night,Maybe
45-54,Female,$3000-$4999,Bachelor’s,Employed,3-5 times,$50-$99,"Health & Beauty,Electronics",Desktop/Laptop,Price,Very Likely,No,Neutral,<$5,Yes,No,Slow Delivery,Sometimes,Very Sensitive,Likely,"Poor Customer Service,Payment Issues,Other","AR Product Previews,One-Click Checkout",4,Evening,Yes
25-34,Male,$5000-$9999,Bachelor’s,Employed,1-2 times,$50-$99,"Fashion,Groceries",Mobile,Discounts,Neutral,No,Unlikely,$5-9,Sometimes,No,Other,Rarely,Not Very Sensitive,Very Likely,"Poor Customer Service,Other,Delivery Delays","One-Click Checkout,Other,Flexible Returns",6,Morning,Yes
25-34,Male,<$1000,Doctorate,Employed,3-5 times,$20-$49,"Groceries,Other,Fashion",Mobile,Brand,Very Unlikely,No,Likely,$5-9,Yes,No,Complicated Checkout,Rarely,Somewhat Sensitive,Neutral,Lack of Variety,Other,9,Night,No
45-54,Female,$3000-$4999,High School,Employed,6-10 times,$50-$99,"Groceries,Other",Mobile,Price,Likely,Maybe,Very Unlikely,<$5,Sometimes,No,Complicated Checkout,Often,Very Sensitive,Likely,Poor Customer Service,"Live Chat Support,AR Product Previews",2,Evening,Maybe
35-44,Female,$5000-$9999,Bachelor’s,Unemployed,3-5 times,<$20,"Home & Kitchen,Electronics,Groceries",Mobile,Brand,Very Unlikely,No,Very Likely,$10-19,Sometimes,Yes,Changed Mind,Never,Very Sensitive,Likely,"Delivery Delays,Product Quality,Poor Customer Service","Other,Better Loyalty Rewards,Flexible Returns",2,Morning,Yes
18-24,Female,$5000-$9999,Master’s,Retired,1-2 times,$20-$49,"Fashion,Groceries",Mobile,Price,Very Likely,Yes,Neutral,<$5,Sometimes,Yes,High Shipping Costs,Always,Very Sensitive,Unlikely,Product Quality,"One-Click Checkout,AR Product Previews",6,Afternoon,Maybe
25-34,Male,$3000-$4999,Bachelor’s,Employed,6-10 times,$20-$49,"Health & Beauty,Electronics",Mobile,Price,Unlikely,Maybe,Neutral,$20+,No,No,Slow Delivery,Sometimes,Very Sensitive,Neutral,"Lack of Variety,Poor Customer Service","Live Chat Support,AR Product Previews,Flexible Returns",7,Night,Yes
35-44,Male,$3000-$4999,Bachelor’s,Employed,6-10 times,$20-$49,"Groceries,Home & Kitchen",Mobile,Reviews,Very Likely,Maybe,Very Likely,<$5,Sometimes,No,Changed Mind,Sometimes,Not at All Sensitive,Very Likely,Lack of Variety,"Live Chat Support,Flexible Returns",7,Evening,Yes
55+,Female,$3000-$4999,Bachelor’s,Employed,6-10 times,$20-$49,"Electronics,Groceries",Mobile,Discounts,Likely,Yes,Likely,<$5,Yes,Maybe,Slow Delivery,Often,Very Sensitive,Very Likely,"Delivery Delays,Product Quality",Live Chat Support,6,Evening,Yes
18-24,Female,"$10,000+",High School,Employed,1-2 times,$20-$49,"Home & Kitchen,Groceries,Health & Beauty",Desktop/Laptop,Delivery Speed,Likely,No,Likely,$10-19,No,No,Complicated Checkout,Rarely,Neutral,Very Unlikely,Payment Issues,"Flexible Returns,Better Loyalty Rewards,Live Chat Support",7,Evening,No
25-34,Male,$3000-$4999,Bachelor’s,Student,6-10 times,$20-$49,Groceries,Desktop/Laptop,Delivery Speed,Likely,Yes,Very Unlikely,$5-9,Sometimes,Yes,Complicated Checkout,Rarely,Not Very Sensitive,Very Likely,"Delivery Delays,Poor Customer Service","Live Chat Support,One-Click Checkout",5,Evening,Yes
25-34,Male,<$1000,Bachelor’s,Employed,6-10 times,$20-$49,"Home & Kitchen,Fashion",Mobile,Product Range,Neutral,Yes,Likely,<$5,Yes,Yes,Changed Mind,Sometimes,Very Sensitive,Neutral,Delivery Delays,Other,5,Night,Yes
18-24,Male,$3000-$4999,High School,Retired,3-5 times,$50-$99,"Groceries,Other",Mobile,Price,Unlikely,Yes,Unlikely,$10-19,Sometimes,Yes,Changed Mind,Often,Neutral,Very Likely,"Other,Product Quality","Live Chat Support,Better Loyalty Rewards,AR Product Previews",1,Afternoon,Yes
45-54,Male,$5000-$9999,Bachelor’s,Employed,3-5 times,$20-$49,"Fashion,Groceries,Health & Beauty",Desktop/Laptop,Brand,Likely,No,Very Likely,$5-9,No,No,Changed Mind,Sometimes,Somewhat Sensitive,Very Unlikely,"Product Quality,Poor Customer Service,Delivery Delays",Better Loyalty Rewards,10,Morning,No
35-44,Male,$1000-$2999,Bachelor’s,Employed,10+ times,$100-$199,"Health & Beauty,Groceries",Desktop/Laptop,Price,Unlikely,Yes,Very Unlikely,<$5,Yes,Maybe,Complicated Checkout,Often,Neutral,Very Likely,"Poor Customer Service,Payment Issues,Product Quality","Flexible Returns,One-Click Checkout",8,Afternoon,Yes
35-44,Female,$5000-$9999,Bachelor’s,Employed,6-10 times,$100-$199,"Health & Beauty,Electronics,Groceries",Mobile,Delivery Speed,Very Unlikely,Yes,Likely,$10-19,Yes,Yes,Security Concerns,Sometimes,Somewhat Sensitive,Very Likely,"Delivery Delays,Product Quality","Better Loyalty Rewards,Flexible Returns,Live Chat Support",9,Afternoon,No
55+,Male,$1000-$2999,Bachelor’s,Unemployed,10+ times,$50-$99,Fashion,Mobile,Price,Unlikely,Yes,Likely,None,Sometimes,Yes,Slow Delivery,Sometimes,Neutral,Unlikely,"Lack of Variety,Other,Product Quality","Other,Flexible Returns,AR Product Previews",10,Evening,Yes
45-54,Female,$3000-$4999,Bachelor’s,Self-employed,6-10 times,$20-$49,Groceries,Tablet,Price,Unlikely,No,Likely,<$5,Yes,No,Slow Delivery,Never,Very Sensitive,Very Likely,"Product Quality,Delivery Delays,Other","Better Loyalty Rewards,AR Product Previews,One-Click Checkout",9,Night,Yes
45-54,Male,"$10,000+",High School,Employed,6-10 times,$50-$99,Electronics,Mobile,Price,Very Likely,Yes,Likely,$10-19,Sometimes,Yes,Complicated Checkout,Sometimes,Neutral,Likely,"Product Quality,Delivery Delays",Live Chat Support,8,Morning,Yes
18-24,Male,$5000-$9999,Doctorate,Employed,1-2 times,$20-$49,"Other,Fashion",Mobile,Price,Likely,Yes,Very Unlikely,$5-9,Yes,No,Slow Delivery,Always,Somewhat Sensitive,Neutral,"Delivery Delays,Payment Issues,Lack of Variety","Live Chat Support,Better Loyalty Rewards,One-Click Checkout",4,Afternoon,Yes
25-34,Male,<$1000,Bachelor’s,Student,3-5 times,$20-$49,"Electronics,Health & Beauty,Groceries",Mobile,Reviews,Neutral,Yes,Likely,None,No,No,Changed Mind,Often,Very Sensitive,Neutral,"Product Quality,Lack of Variety",Flexible Returns,6,Evening,Yes
45-54,Male,"$10,000+",Bachelor’s,Employed,3-5 times,$20-$49,"Fashion,Electronics,Home & Kitchen",Desktop/Laptop,Delivery Speed,Very Likely,Yes,Unlikely,$5-9,Yes,No,Slow Delivery,Often,Not at All Sensitive,Unlikely,"Delivery Delays,Product Quality,Poor Customer Service",Flexible Returns,6,Evening,Yes
25-34,Male,$3000-$4999,Master’s,Employed,10+ times,$50-$99,Groceries,Mobile,Delivery Speed,Likely,Yes,Neutral,<$5,Yes,No,Changed Mind,Rarely,Somewhat Sensitive,Likely,"Delivery Delays,Other,Lack of Variety",Live Chat Support,2,Morning,Maybe
55+,Female,<$1000,High School,Employed,1-2 times,<$20,"Home & Kitchen,Electronics",Mobile,Discounts,Unlikely,Yes,Unlikely,$5-9,Sometimes,Yes,Changed Mind,Sometimes,Somewhat Sensitive,Very Likely,Payment Issues,AR Product Previews,7,Evening,No
35-44,Female,$3000-$4999,Bachelor’s,Self-employed,3-5 times,$100-$199,Home & Kitchen,Mobile,Reviews,Very Unlikely,Yes,Likely,<$5,Sometimes,Yes,High Shipping Costs,Rarely,Very Sensitive,Likely,Other,One-Click Checkout,7,Night,No
35-44,Male,$5000-$9999,High School,Unemployed,3-5 times,$20-$49,"Groceries,Health & Beauty,Electronics",Mobile,Reviews,Neutral,Yes,Unlikely,$5-9,Sometimes,No,High Shipping Costs,Sometimes,Neutral,Likely,"Other,Delivery Delays,Product Quality","Live Chat Support,Flexible Returns,Other",10,Afternoon,No
55+,Male,$3000-$4999,Bachelor’s,Employed,1-2 times,$100-$199,"Fashion,Books",Other,Reviews,Very Likely,Yes,Neutral,<$5,Sometimes,No,Slow Delivery,Often,Neutral,Unlikely,"Delivery Delays,Payment Issues,Product Quality","Flexible Returns,Better Loyalty Rewards,AR Product Previews",7,Evening,Yes
18-24,Male,$3000-$4999,Bachelor’s,Unemployed,1-2 times,$20-$49,"Fashion,Electronics",Mobile,Price,Likely,No,Very Likely,$20+,No,Yes,High Shipping Costs,Sometimes,Not Very Sensitive,Likely,"Lack of Variety,Product Quality,Poor Customer Service",Other,4,Night,Yes
55+,Prefer not to say,$5000-$9999,Master’s,Employed,10+ times,$50-$99,Electronics,Mobile,Discounts,Likely,Yes,Likely,<$5,Sometimes,Yes,Complicated Checkout,Never,Very Sensitive,Unlikely,"Other,Product Quality,Delivery Delays","Live Chat Support,Better Loyalty Rewards,One-Click Checkout",7,Morning,Maybe
45-54,Male,"$10,000+",High School,Employed,3-5 times,$50-$99,"Groceries,Health & Beauty",Tablet,Delivery Speed,Very Likely,Yes,Neutral,$5-9,No,Yes,Slow Delivery,Often,Somewhat Sensitive,Unlikely,Lack of Variety,"Live Chat Support,Better Loyalty Rewards",9,Evening,Yes
45-54,Female,<$1000,Bachelor’s,Unemployed,3-5 times,$20-$49,"Groceries,Fashion,Home & Kitchen",Mobile,Product Range,Likely,No,Very Likely,None,No,No,Changed Mind,Rarely,Very Sensitive,Very Likely,Product Quality,"Other,Live Chat Support",7,Evening,Yes
25-34,Female,$3000-$4999,Doctorate,Employed,3-5 times,$100-$199,"Home & Kitchen,Electronics",Desktop/Laptop,Price,Unlikely,No,Neutral,$5-9,Yes,Yes,High Shipping Costs,Often,Somewhat Sensitive,Likely,"Payment Issues,Delivery Delays","Better Loyalty Rewards,Live Chat Support",7,Morning,Yes
55+,Male,$3000-$4999,High School,Employed,6-10 times,$20-$49,"Home & Kitchen,Groceries,Electronics",Mobile,Discounts,Likely,Yes,Likely,None,No,Yes,High Shipping Costs,Often,Somewhat Sensitive,Very Unlikely,"Poor Customer Service,Other,Product Quality","Live Chat Support,Better Loyalty Rewards",3,Morning,Yes
35-44,Female,$5000-$9999,Bachelor’s,Retired,1-2 times,$20-$49,"Health & Beauty,Books",Mobile,Reviews,Neutral,No,Neutral,<$5,Sometimes,Maybe,Changed Mind,Rarely,Neutral,Unlikely,"Other,Lack of Variety,Delivery Delays",Live Chat Support,9,Morning,Yes
25-34,Female,$3000-$4999,Bachelor’s,Employed,1-2 times,$200+,"Other,Fashion,Groceries",Mobile,Price,Very Unlikely,No,Unlikely,$5-9,Yes,Yes,Changed Mind,Sometimes,Neutral,Likely,"Other,Product Quality,Poor Customer Service","AR Product Previews,Better Loyalty Rewards",4,Evening,No
35-44,Male,$1000-$2999,Master’s,Employed,6-10 times,$20-$49,"Groceries,Other,Books",Mobile,Reviews,Likely,No,Likely,None,No,No,Other,Always,Neutral,Likely,"Other,Delivery Delays","One-Click Checkout,AR Product Previews,Better Loyalty Rewards",6,Afternoon,No
25-34,Male,$1000-$2999,High School,Self-employed,1-2 times,$50-$99,"Electronics,Home & Kitchen,Books",Desktop/Laptop,Delivery Speed,Likely,Yes,Neutral,<$5,No,No,Slow Delivery,Always,Somewhat Sensitive,Neutral,"Delivery Delays,Product Quality","Other,Live Chat Support",8,Evening,Yes
35-44,Female,$3000-$4999,Bachelor’s,Unemployed,1-2 times,<$20,"Home & Kitchen,Books",Mobile,Discounts,Neutral,No,Very Likely,$5-9,Yes,Yes,Slow Delivery,Often,Very Sensitive,Likely,"Payment Issues,Delivery Delays",Live Chat Support,3,Afternoon,Yes
45-54,Male,$3000-$4999,Bachelor’s,Self-employed,10+ times,<$20,"Home & Kitchen,Books,Health & Beauty",Mobile,Discounts,Unlikely,Yes,Likely,<$5,Yes,Yes,High Shipping Costs,Never,Very Sensitive,Unlikely,Lack of Variety,"Flexible Returns,Live Chat Support",7,Evening,No
55+,Female,$5000-$9999,High School,Employed,3-5 times,$100-$199,"Home & Kitchen,Other,Fashion",Mobile,Delivery Speed,Likely,No,Unlikely,<$5,Yes,Yes,Security Concerns,Rarely,Very Sensitive,Neutral,"Payment Issues,Other,Poor Customer Service",One-Click Checkout,7,Night,Yes
55+,Male,$3000-$4999,High School,Employed,1-2 times,$20-$49,"Books,Electronics,Health & Beauty",Desktop/Laptop,Price,Likely,Maybe,Likely,<$5,No,No,Complicated Checkout,Often,Very Sensitive,Very Likely,"Delivery Delays,Payment Issues",AR Product Previews,7,Afternoon,Maybe
45-54,Male,$5000-$9999,Master’s,Retired,3-5 times,$20-$49,"Electronics,Books",Mobile,Price,Likely,No,Very Likely,<$5,Yes,No,Complicated Checkout,Often,Neutral,Likely,"Payment Issues,Poor Customer Service,Other","AR Product Previews,Live Chat Support,Flexible Returns",9,Afternoon,Maybe
45-54,Male,$3000-$4999,Master’s,Student,10+ times,$50-$99,"Electronics,Other,Fashion",Desktop/Laptop,Brand,Unlikely,Yes,Likely,$20+,Yes,Yes,Slow Delivery,Sometimes,Somewhat Sensitive,Very Likely,"Delivery Delays,Product Quality,Lack of Variety","Live Chat Support,AR Product Previews",9,Evening,Yes
25-34,Female,$1000-$2999,Master’s,Employed,3-5 times,$50-$99,"Groceries,Other",Mobile,Discounts,Neutral,No,Neutral,None,No,No,Complicated Checkout,Rarely,Very Sensitive,Likely,"Poor Customer Service,Delivery Delays","AR Product Previews,Flexible Returns",4,Evening,Yes
25-34,Male,$5000-$9999,Master’s,Employed,6-10 times,$100-$199,"Electronics,Groceries",Mobile,Price,Neutral,No,Neutral,<$5,Sometimes,No,Changed Mind,Rarely,Very Sensitive,Likely,"Delivery Delays,Poor Customer Service","Other,Flexible Returns",8,Afternoon,No
55+,Female,<$1000,Master’s,Employed,Never,$20-$49,"Groceries,Books,Electronics",Other,Product Range,Unlikely,No,Unlikely,<$5,Yes,Yes,Slow Delivery,Sometimes,Not at All Sensitive,Very Likely,"Product Quality,Delivery Delays,Other","One-Click Checkout,Better Loyalty Rewards",8,Morning,No
18-24,Male,"$10,000+",Bachelor’s,Self-employed,3-5 times,<$20,"Fashion,Health & Beauty,Groceries",Mobile,Reviews,Unlikely,Yes,Very Likely,<$5,Yes,No,Other,Sometimes,Somewhat Sensitive,Very Likely,Product Quality,"Better Loyalty Rewards,Flexible Returns",5,Afternoon,Yes
45-54,Female,$3000-$4999,Bachelor’s,Employed,3-5 times,$100-$199,"Fashion,Groceries",Mobile,Product Range,Very Likely,Yes,Very Unlikely,None,No,Maybe,High Shipping Costs,Rarely,Very Sensitive,Very Likely,"Payment Issues,Poor Customer Service,Lack of Variety",Live Chat Support,7,Evening,Yes
25-34,Male,$3000-$4999,Bachelor’s,Employed,3-5 times,$100-$199,"Electronics,Fashion",Tablet,Delivery Speed,Likely,Maybe,Likely,<$5,Sometimes,No,Slow Delivery,Sometimes,Somewhat Sensitive,Neutral,"Other,Product Quality","Better Loyalty Rewards,Live Chat Support,Flexible Returns",8,Evening,Yes
18-24,Male,$3000-$4999,Bachelor’s,Employed,1-2 times,$100-$199,Electronics,Desktop/Laptop,Brand,Unlikely,No,Likely,$5-9,Yes,Yes,Slow Delivery,Often,Not Very Sensitive,Likely,Lack of Variety,One-Click Checkout,5,Night,No
35-44,Female,<$1000,Bachelor’s,Employed,1-2 times,$50-$99,"Fashion,Electronics",Tablet,Reviews,Likely,Yes,Very Likely,$5-9,Sometimes,No,Slow Delivery,Sometimes,Not Very Sensitive,Neutral,Lack of Variety,"AR Product Previews,Flexible Returns",9,Night,Yes
18-24,Male,$3000-$4999,Bachelor’s,Self-employed,3-5 times,$50-$99,"Health & Beauty,Fashion,Groceries",Mobile,Discounts,Likely,Yes,Very Likely,$5-9,Sometimes,Yes,Complicated Checkout,Never,Somewhat Sensitive,Likely,"Payment Issues,Delivery Delays","Live Chat Support,One-Click Checkout",4,Morning,No
45-54,Female,$3000-$4999,Master’s,Unemployed,3-5 times,$20-$49,Fashion,Mobile,Price,Unlikely,No,Likely,<$5,Yes,No,Complicated Checkout,Often,Not Very Sensitive,Unlikely,"Poor Customer Service,Delivery Delays,Payment Issues","AR Product Previews,Flexible Returns",3,Morning,Yes
25-34,Female,$5000-$9999,Master’s,Employed,10+ times,$50-$99,"Other,Health & Beauty,Fashion",Mobile,Price,Likely,Yes,Neutral,<$5,No,No,High Shipping Costs,Sometimes,Somewhat Sensitive,Very Likely,Delivery Delays,AR Product Previews,5,Evening,Yes
